id,name,system_name
1033,На Восстания 42  Чернышевская,SPB290
1041,На Радищева  153А,ULN58
1043,1802 Постамат Халва,RBTS10
1055,На Октябрьском проспекте 266,LYUB47
5,На Советской  2/150,YEVP1
10,На Азина,IZHV16
11,На Каширском шоссе  19к2,MSK406
21,На Мира 199/3,ILS1
32,Кислородная площадь,TGN15
52,На Рижской  55,TYUM68
56,На пр-т. Энергетиков,UDM1
62,6437 Постамат СДЭК,IVN31
108,На Туркестанской  2А,ORN55
110,На Революционной 76,TLT9
111,На Карла Маркса 188,NOV12
112,На Туапсинской 8,SCH52
117,На Кузнецова 3,SAR100
123,На 3-го Интернационала,ALA1
137,Тихая Аллея,NZHK6
138,На Менжинского 4Г,RND182
141,На Гагарина,KRZH1
153,Тау-Парк/3-я Дачная,SAR4
161,На Советской,OKT4
164,2070 Постамат Халва,YELTS5
172,На Боголюбова 44,DBN5
173,На Маяковского,KOT1
177,На 12 микрорайоне  1,AKT31
200,На Фаузи Зайлалова,DYUR1
238,На Ленина,PLK2
245,Орехово,MSK48
246,На Петра Метальникова,KSD45
254,Чурилово,CHEL47
264,На Аджимушкая,SMF25
268,(Юнона  Маршала Казакова  35),SPB74
284,Метро Бабушкинская - ул.Ленская,MSK502
286,На Байкальской 202/10,IRK30
288,На Репина,ULN20
306,ТЦ Океан,IZHV19
311,На Пролетарской,MSK65
312,На Бригадной 2,SRP32
313,6040 Постамат Халва,CHER22
314,ПФО На Золотой Ниве,NSK81
328,2702 Постамат Халва,SPB960
342,На Андрея Кореневского 11,TYUM193
347,На 50 лет ВЛКСМ 11,PRI4
349,1587 Постамат Халва,SPB836
370,На Комсомольской 63,RAS2
372,Чернево,KRN5
373,На бульваре Маршала Рокоссовского  8к4,MSK451
378,Радиоцентр,SHCHLK4
384,На Республики  181,TYUM171
397,На 26-м микрорайоне 31,AKT25
399,На Пушкина,PRM6
406,На Ленина  201,MKHV5
413,На Щепкина 28  Совкомбанк,MSK2200
415,На Пластунской 92,SCH70
419,На 25 Октября  22а,PRM146
423,0802 Постамат Халва,KRL39
426,Адлер (На Просвещения  118Б),SCH111
443,На Ярославского 148,GKL4
451,На Достоевского 83,UFA47
460,На Почтовой 56Б,GOR11
469,Краснодар КБ (прием/выдача тяжелых грузов  LTL),KSD118
472,На Советской,RTSHCH1
474,На Дальневосточной 10а,PPK23
480,Бульвар Строителей,KEM15
481,На Счастливой,USA1
503,На проспекте Мира  40,UTI2
505,5647 Постамат Халва,KHAB54
521,На Поляничко,ORN18
536,Центр,SAM43
537,4974 Постамат Халва,RTK24
539,На Калинина,PRM51
547,На Красной 103,MST2
549,На Гагарина 236Б,ALM26
553,Кутузово,PLK19
561,Таганская,MSK77
562,6034 Постамат СДЭК,MSK2312
566,На Тукая 13/19,LES2
567,На Марата 67/17,SPB174
573,На Генерала Глаголева  22к1,MSK165
576,На Вольской 126,SAM157
577,На Ворошилова,VRN6
587,Чонгарский бульвар,MSK235
605,На Пригородной 2Б  LTL,VLZH1
609,На Богородском  10к2,SHCHLK10
619,На Холмогорской,PRM30
624,На Старых Большевиков 82/1,YEKB316
629,На Свободы,KHLA1
631,На Ленинградском 47,YARS12
648,На Мачуги В.Н,KSD24
660,На Связистов 5,PRM141
661,На Губкина  19,NUG7
666,На Камской 1Б  Кондратово,PRM139
676,На Боевой 14А,FDS5
684,На проспекте Райымбека  522/1,ALM132
695,На Ильюшина 13  мкр. Озерки,VRN129
696,На Ломоносова 71,KAS3
699,На Керченской 86,PRI3
703,Таможенное оформление (ГТК РБ),MIN70
711,На Советской 3,KRSH1
713,На Алтайской,YEKB65
720,6075 Постамат Халва,MSK1562
725,6120 Постамат Халва,MSK1765
728,На 3 Интернационала,BRK6
730,На Дзержинской,KLM5
732,На Чуйском проспекте  124,BISH12
736,3247 Постамат Халва,MSK1859
739,На Пушкина 28,RBN1
745,Подрезково,KHME10
747,6540 Постамат СДЭК,TBL4
762,6166 Постамат СДЭК,SPB201
777,На Лихачевском ш.,DLP2
788,Ярославка,MSK285
792,На Седова 71,IRK71
797,На Ломоносова,ZHIR1
804,На Азаровской 26,KLG33
806,На Чернышевского,SAR17
809,На Типанова 7,SPB338
814,На Первомайской 43,KOR5
827,Digital Media City,SEU4
831,ТЦ Город,STR8
845,На Скандинавском бульваре 1 корп.1,SOYE18
876,На Шокальского 33,MSK2346
878,На Технической 14,SAR38
882,На Улофа Пальме 3,MSK2015
886,На Бежицкой,BRK8
897,На Ленина,MKN1
2,На Железнодорожном переезде 1,SCH49
24,На Мира 11Б,BAY1
33,На Куйбышева  165,PRM65
37,На Шошина  15,IVN15
46,Площадь Маркса 5,NSK8
55,Сулимова,YEKB37
69,СЦ (прием/выдача тяжелых грузов  LTL),SMF40
114,На Кировской  17Б,BOL3
116,На Ленина 2А,IZB2
118,На Светлане,SCH34
124,На Ленина 78,TEM6
132,Центр Сормова,NN45
133,На Созидателей 7,KZN251
134,На Рождественской  8,MSK2343
144,Борисовские Пруды,MSK127
147,На Базарной 1,ORS2
151,СЦ (Нет приема/выдачи),FDS4
154,На Курбанова  14,DRB7
159,На Западносибирской,TYUM48
165,КБ (нет приема/выдачи груза),TUL73
169,На 40 лет Октября  15/1,SHCHEB28
175,На микрорайоне Шугыла  340/8к3,ALM149
179,На Маркса,XAB3
187,На Московской  75,KAN11
195,На Воскресенской,STR7
196,На Шпигуна  67с,BAB1
206,На Советском проспекте  2,SPB1154
208,На Рудневке,MSK437
209,3498 Постамат Халва,VRK5
218,На Шелеста,KHAB22
220,На Тронина,GRG2
240,На Ясногорской 16/7,SCH102
241,На Калужском 20,TRTS13
242,На Челюскина 6 стр. 1,SPB989
272,На Шагова  61/1,KST36
294,На 45 параллели  75,STV26
297,2694 Постамат Халва,MSK2210
300,На Вешняковской  12Ж,MSK225
310,На 60-й Армии 29А,VRN34
315,Балтийская Жемчужина,SPB139
320,На Гагарина 56Б,KIZ4
321,Интернациональная,YEVP2
333,На Харьковской  34  корп. 1,BLD49
335,На Дегтярева,VLG24
338,Лётная,MTSHCH9
352,На Бурмистрова 26В,STV55
355,6004 Постамат СДЭК,KEM47
367,5081 Постамат Халва,VNV5
369,На Свободы,BOL1
375,На Тихоокеанской 1,PAR3
377,На Акушинского-Учхоз,MKHCH14
388,На Ленина 92Б,VLZH24
400,На Рязановском шоссе 31  корп. 1  ЖК Алхимово,RYA2
