id;warehouse_id;city_id;street;house
930;930;408;ТИХИЙ ПРОЕЗД;6
936;936;82;ул. Саларьевская;14, корп.2
943;943;96;ул. Мира;84
944;944;272;ул. Панфилова;20
948;948;567;ул. Ленинградская;53
957;957;416;ул. Пушкина;19А
970;970;2024;ул. Красная;70
989;989;2023;Му 10, Саи 3;576/7
994;994;178;ул. Геологическая;17Б
1001;1001;668;ул. Студнева;2
6;6;14;ул. Восточная;42/6
14;14;19;ул. Энгельса;78
16;16;1322;Сморговский тракт;3
18;18;424;ул. Пригородная;105
20;20;82;ул. Поречная;13
31;31;156;2 мкр-н;7
45;45;82;ул. Дмитрия Ульянова;17 корп. 1
58;58;599;ул. 1 мая;57/2
61;61;530;ул. Московская ;52
65;65;2342;пр-т. Прокшинский;12
67;67;411;Иркутский тракт;175А
73;73;1361;ул. Северная;20.мар
85;85;110;пр-т Никольский;33
107;107;16;ул. Кирова;3
121;121;1576;ул. Ленина;128
131;131;415;ул. Флегонтова;4
140;140;943;мкр. Аксай 3-Б;1Б
145;145;408;ул. Широтная;191
156;156;169;ул. Ольги Берггольц;9
157;157;656;мкр. Дружба;25
167;167;737;ул. Микрорайон 3;9
171;171;181;пр-т Красного Знамени;59
180;180;332;ул. Бабуркина;5
181;181;710;бульвар Камерон;16353
203;203;580;ул. Яблочкова;42
214;214;1295;ул.Каштановая аллея;2
229;229;82;ш. Щелковское;29
232;232;581;проезд 1-ый параллельный;16
236;236;347;ул. 45 стрелковой дивизии;224
253;253;343;ул. Староохотничья;3
255;255;4;ул. Фрунзе;1А
256;256;169;пр. Энгельса;18
257;257;101;ул. Мужества;12
295;295;101;ул. Ястынская;47в/10
304;304;82;ул. Шипиловская;58, к.1
317;317;310;ул. Ногмова;79/235
329;329;549;пр. Советский;4
332;332;580;пр.  Воробьёва;7
343;343;155;ул. Гостилицкая;2А
374;374;460;ул. Первомайская;14
380;380;262;ул. Энергетиков;38
381;381;17;ул. Ефремова;2
389;389;827;ул. Ленина;92
393;393;358;11 мкр.;35
395;395;190;ул. Репина;72
404;404;410;ул. Кулибина;1Б
407;407;82;ул. Чермянская;4
410;410;169;ш. Суздальское;24к2
416;416;1751;Привокзальная площадь;пав. 4
417;417;391;1 Мая мкр;4, корпус 1, помещение 1-5
421;421;424;ул. Котлярова;20
425;425;847;ул. Тульская;2
438;438;549;б-р. Зелёные Аллеи;12
440;440;570;ул. Гребенщикова;2
453;453;311;ул. Бондарева;5
466;466;98;ул. Сулимова;59
467;467;1092;ул. Московская;30
470;470;408;ул. Малиновского;5Б
473;473;332;ул. Малахова;122
482;482;1367;ул. Гурзуфская;8
488;488;169;пр-т Маршака;12.янв
494;494;1227;ул. Ломоносова;17
498;498;424;ул. Воронежская ;47Д
500;500;82;ул. Таганрогская;11 корп. 3
509;509;82;ул. Большая Переяславская;№ 5, корпус 1
510;510;101;ул. 60 лет Октября;111а
512;512;169;ул. Народная;5
523;523;934;ул. Гагарина;99
524;524;12;ул. Плеханова;44
526;526;613;ул. Пугачева;01.фев
534;534;258;пр-т Октябрьский;36
538;538;82;Малый Левшинский пер.;5
552;552;1619;ул. Крымская;56
558;558;341;ул. Галимджана Баруди;20
571;571;176;ул. Николая Корыткова;17А
572;572;269;ул.  Пушкарева;11
580;580;943;пр-т. Гагарина;287/1
591;591;429;ул. Спасская;6А
603;603;813;ул. Ленинградское шоссе;81А
622;622;252;ул. Ленина;70
625;625;347;ул. Владимира Невского;31Б
637;637;181;ул. Верхнепортовая;32
639;639;96;ул. Подводников;9
642;642;408;Ул. Республики;211
658;658;494;ул. Богдана Хмельницкого; 48а
673;673;1424;ул. Больничная;27А
680;680;425;ул. Ирчи Казака;3
692;692;1892;ул. Новая;16
698;698;82;ул. Тверская;9, стр.7
718;718;101;ул. Крайняя;1
723;723;608;ул. Победы;8
724;724;194;ул. Набережная;33
733;733;424;ул. Коммунаров;122
735;735;841;ул. Урицкого;65
744;744;176;Смоленский пер.;32
754;754;82;ш. Коровинское;22
769;769;570;ул. Юности;1
774;774;1172;Северное шоссе;2
785;785;424;ул. Симиренко;16
789;789;1135;ул. Полетаева;17
794;794;82;ул. Госпитальный вал;08.янв
795;795;2240;ул. Дагестанская;6
800;800;1547;ул. Первомайская;32
801;801;4;ул. Владимира Сайбеля;41
803;803;408;ул. Холодильная;15
810;810;316;ул. Пролетарская;2
823;823;82;ул. Авиамоторная;67/8 стр.3
3;3;245;Проспект Губкина;5
9;9;341;Проспект Ямашева;21
17;17;424;ул. имени Героя Георгия Бочарникова;12.фев
25;25;82;ул. Люблинская;76
39;39;647;ул. Фрунзе;101
48;48;82;б-р Нагорный;4
60;60;401;мкр. Дружба;05.фев
68;68;1275;д. Ликино;103
76;76;498;ул. Звездная;5
81;81;117;Ул. Антонова;18
82;82;410;ул. Академика Королева;15
87;87;261;Ул. Стаханова;65
90;90;102;ул. Декабрьских Событий;125
95;95;644;ш. Акрихиновское;12
96;96;568;ул. 9 Января;20 пом. 23
100;100;503;ул. Мира;57А
105;105;1225;мкр. Берёзовый;6
113;113;1362;ул. Новая;1Д
127;127;256;ул. Пушкина;65
136;136;82;ул. Авангардная;16
174;174;82;ул. Петрозаводская;11А
194;194;229;ул. Советская;5А
198;198;343;ул. макаренко;34/18
201;201;1051;ул. Добрая;8
205;205;19;ул. Куникова;28
210;210;169;пр-т. Наставников;47
213;213;1322;ул. Центральная;6
217;217;967;ул. П.Шувалова;10
219;219;1811;ул. Дмитрия Тараканова;29
221;221;808;ул. Школьная;3
231;231;82;1-й Капотнинский проезд;12с1
239;239;84;пр-т Комсомольский;10.янв
251;251;490;2-й квартал;37
270;270;169;Ул. Тамбасова;3
277;277;1220;ул. Генерала Петренко;6
279;279;174;ул. Бирюкова;41
280;280;188;ул. Гражданская;95
290;290;245;мкр. Дубрава, квартал 1;23
293;293;391;пр-т. Ленина;32Б
298;298;925;ул. Строителей;1А
302;302;1966;ш. Новосёловское ;36А
323;323;9;ул. Омская;101
326;326;111;ул. Авроры;150/1
330;330;570;ул. Никитина;112а
331;331;570;ул. Курчатова;9
340;340;111;ул. Молодежная;10
359;359;1110;ул. Титова;27А
391;391;409;ул. Ворошилова;7
396;396;414;ул. Ленинградская;82
409;409;978;ул. 4 мкр;2А
420;420;169;ул. Ново-Александровская;14
427;427;251;ул. Грибоедова;46
432;432;568;ул. Ленинградская;36
439;439;343;ул. Горького;58а
447;447;101;ул. Копылова;76
457;457;2342;ул. Сосновая;4
459;459;436;ул. Колхозная;1
464;464;1189;ул. Ленина;71
483;483;82;ул. Осенняя;4
486;486;410;ул. Чичерина;37Б
487;487;913;ул. Магистральная;6
489;489;111;пр-т. Карла Маркса;246
